BRANCH_NAME,AGENCY_NO,BRANCH_NO,BUSINESS_ADDRESS1,BUSINESS_ADDRESS2,BUSINESS_CITY,BUSINESS_STATE,BUSINESS_ZIP
Daniel Boone Agency - Tom Garnett - A420401,92,35,125 N. Main,,Gallatin,MO,64640
Daniel Boone Agency - Tom Martin - AA26301,92,104,P O Box 155,,Kimberling City,MO,65686
Missouri Farm Bureau - Brian Simmons - MEM1090,398,193,"310 E. Hewitt Ave., Ste. D",,Greenfield,MO,65661
Daniel Boone Agency - Herb Nease- 15525423,92,342,10925 Antioch Rd.,Ste. 204,Overland Park,KS,66210
Daniel Boone Agency - Robert Simpson - A122901,92,2,Box 227,,Crocker,MO,65452
Missouri Farm Bureau - Chad Webber - MEM1309,398,310,2032 E Kearney St,,Springfield,MO,65803
Missouri Farm Bureau - Evan Pohl - MEM1278,398,292,652-A S. Sturgeon St.,,Montgomery City,MO,63361
Daniel Boone Agency - Matt Thurmon - 24E59844,92,349,915 Smith Street,Ste C,Dexter,MO,63841
Missouri Farm Bureau - Ron Koch - MEM034,398,120,111 N. Mason St.,,Carrollton,MO,64633
"S & K Agency, LLC (1)",2625,1,1505 W. Austin Blvd.,,Nevada,MO,64772
Proctor Insurance Agency (1),1774,1,2411 W. Kearney,,Springfield,MO,65803
Anita Edmonds Insurance Agency,2139,1,545 S. 13 Hwy.,,Lexington,MO,64067
American Family - Andrew Golian - 240170,2053,132,5898 N Main St,Ste 107,Joplin,MO,64801
American Family - Roberta Howard - 072188,2053,477,618 Sw 3rd St Ste I,,Lee's Summit,MO,640632277
American Family - Julie Coover - 262655,2053,450,32565 Lexington Ave Ste B,,De Soto,KS,660188461
United Insurors,109,1,205 E. Commercial,,Lebanon,MO,65536
American Family - Tim Vogel - 104187,2053,400,4500 Telegraph Rd Ste 101,,Saint Louis,MO,631293399
American Family - Kelli Davies - 014177,2053,70,12213 Old Big Bend Rd,,Saint Louis,MO,631226803
"CC Services, Inc. - Matthew Crider - 15506",2041,32,1605 Vandalia,,Collinsville,IL,62234
American Family - Donald Mccurren - 257171,2053,249,Po Box 248,,Edina,MO,635370248
American Family - Doyne Mcginthy - 243164,2053,252,802 Jamestown Rd,,O'Fallon,IL,622692817
American Family - Todd Heermann - 026180,2053,473,244 E US Hwy 69 Ste 201a,,Claycomo,MO,641193163
Gregory S. King (1),1673,1,8645 College Blvd.,Suite 125,Overland Park,KS,66210
Missouri Farm Bureau - Jeffrey Huffman - MEM1271,398,289,11 Sydnorville Rd.,Suite 1,Troy,MO,63379
American Family - Dustin Butler - 354168,2053,42,2133 W Republic Rd,,Springfield,MO,658075705
American Family - Chuck Chalender - 323168,2053,49,4140 S Fairview Ave,,Springfield,MO,658074751
Daniel Boone Agency - Rebecca Lester - AE22201,92,316,"1131 N. Kingshighway St, Ste 2B",,Cape Girardeau,MO,637013559
American Family - Mark Luetkemeyer - 024190,2053,228,4500 Telegraph Rd Ste 103,,Saint Louis,MO,631293399
Missouri Farm Bureau - Sherrie Haverstick - MEM1134,398,97,"Hwy. 21, Bldg #10620",,Hillsboro,MO,63050
