"zcta5","county","cntyname","zipname","pop2k","afact"
"ZIP Census Tabulation Area","county","cntyname","zipname","Total Pop, 2000 census","zcta5 to county alloc factor"
"66002","20005","Atchison KS","ATCHISON",12982,0.976 
"66002","20043","Doniphan KS","ATCHISON",135,0.01 
"66002","20087","Jefferson KS","ATCHISON",76,0.006 
"66002","20103","Leavenworth KS","ATCHISON",112,0.008 
"66006","20045","Douglas KS","BALDWIN CITY",6046,0.989 
"66006","20059","Franklin KS","BALDWIN CITY",65,0.011 
"66007","20103","Leavenworth KS","BASEHOR",3925,1 
"66008","20043","Doniphan KS","BENDENA",328,1 
"66010","20011","Bourbon KS","BLUE MOUND",24,0.041 
"66010","20107","Linn KS","BLUE MOUND",566,0.959 
"66012","20103","Leavenworth KS","LAKE OF THE FORE",3007,0.316 
"66012","20209","Wyandotte KS","LAKE OF THE FORE",6510,0.684 
"66013","20091","Johnson KS","BUCYRUS",774,0.44 
"66013","20121","Miami KS","BUCYRUS",986,0.56 
"66014","20003","Anderson KS","CENTERVILLE",7,0.02 
"66014","20107","Linn KS","CENTERVILLE",337,0.98 
"66015","20001","Allen KS","COLONY",94,0.115 
"66015","20003","Anderson KS","COLONY",725,0.885 
"66016","20005","Atchison KS","CUMMINGS",584,1 
"66017","20013","Brown KS","DENTON",9,0.022 
"66017","20043","Doniphan KS","DENTON",406,0.978 
"66018","20091","Johnson KS","DE SOTO",4389,1 
"66019","20091","Johnson KS","CLEARVIEW CITY",339,1 
"66020","20103","Leavenworth KS","EASTON",1707,1 
"66021","20045","Douglas KS","EDGERTON",130,0.058 
"66021","20091","Johnson KS","EDGERTON",2018,0.894 
"66021","20121","Miami KS","EDGERTON",110,0.049 
"66023","20005","Atchison KS","EFFINGHAM",1240,1 
"66024","20043","Doniphan KS","ELWOOD",890,1 
"66025","20045","Douglas KS","EUDORA",5567,0.957 
"66025","20091","Johnson KS","EUDORA",245,0.042 
"66025","20103","Leavenworth KS","EUDORA",3,0.001 
"66026","20107","Linn KS","FONTANA",122,0.202 
"66026","20121","Miami KS","FONTANA",483,0.798 
"66027","20103","Leavenworth KS","FORT LEAVENWORTH",6638,1 
"66030","20091","Johnson KS","GARDNER",11233,1 
"66032","20003","Anderson KS","GARNETT",5062,1 
"66033","20003","Anderson KS","GREELEY",642,0.84 
"66033","20059","Franklin KS","GREELEY",120,0.157 
"66033","20107","Linn KS","GREELEY",2,0.003 
"66035","20043","Doniphan KS","HIGHLAND",1260,1 
"66039","20001","Allen KS","MILDRED",12,0.017 
"66039","20003","Anderson KS","MILDRED",675,0.975 
"66039","20107","Linn KS","MILDRED",5,0.007 
"66040","20107","Linn KS","LA CYGNE",2789,0.908 
"66040","20121","Miami KS","LA CYGNE",283,0.092 
"66041","20005","Atchison KS","HURON",741,1 
"66042","20059","Franklin KS","LANE",447,1 
"66043","20103","Leavenworth KS","LANSING",9409,1 
"66044","20045","Douglas KS","LAWRENCE",30224,0.971 
"66044","20087","Jefferson KS","LAWRENCE",550,0.018 
"66044","20103","Leavenworth KS","LAWRENCE",357,0.011 
"66046","20045","Douglas KS","LAWRENCE",19981,1 
"66047","20045","Douglas KS","LAWRENCE",15122,1 
"66048","20103","Leavenworth KS","LEAVENWORTH",33860,1 
"66049","20045","Douglas KS","LAWRENCE",20338,1 
"66050","20045","Douglas KS","LECOMPTON",1564,1 
"66052","20103","Leavenworth KS","LINWOOD",1842,1 
"66053","20121","Miami KS","LOUISBURG",5607,1 
"66054","20087","Jefferson KS","MC LOUTH",2053,0.732 
"66054","20103","Leavenworth KS","MC LOUTH",753,0.268 
"66056","20107","Linn KS","MOUND CITY",1825,1 
"66058","20005","Atchison KS","MUSCOTAH",391,1 
"66060","20005","Atchison KS","NORTONVILLE",266,0.235 
"66060","20087","Jefferson KS","NORTONVILLE",868,0.765 
"66061","20091","Johnson KS","OLATHE",42280,1 
"66062","20091","Johnson KS","OLATHE",55077,1 
"66064","20059","Franklin KS","OSAWATOMIE",30,0.005 
"66064","20121","Miami KS","OSAWATOMIE",6591,0.995 
"66066","20087","Jefferson KS","OSKALOOSA",2614,1 
"66067","20059","Franklin KS","OTTAWA",15507,1 
"66070","20087","Jefferson KS","OZAWKIE",2198,1 
"66071","20121","Miami KS","PAOLA",11588,1 
"66072","20003","Anderson KS","PARKER",6,0.006 
"66072","20107","Linn KS","PARKER",1012,0.979 
"66072","20121","Miami KS","PARKER",16,0.015 
"66073","20087","Jefferson KS","PERRY",2369,1 
"66075","20107","Linn KS","PLEASANTON",2319,1 
"66076","20059","Franklin KS","POMONA",2138,1 
"66077","20005","Atchison KS","POTTER",77,1 
"66078","20059","Franklin KS","PRINCETON",977,1 
"66079","20059","Franklin KS","RANTOUL",836,1 
"66080","20003","Anderson KS","RICHMOND",150,0.146 
"66080","20059","Franklin KS","RICHMOND",879,0.854 
"66083","20091","Johnson KS","SPRING HILL",3783,0.625 
"66083","20121","Miami KS","SPRING HILL",2270,0.375 
"66085","20091","Johnson KS","STILWELL",5373,1 
"66086","20087","Jefferson KS","TONGANOXIE",37,0.005 
"66086","20103","Leavenworth KS","TONGANOXIE",6938,0.995 
"66087","20043","Doniphan KS","SEVERANCE",2042,1 
"66088","20005","Atchison KS","VALLEY FALLS",41,0.016 
"66088","20087","Jefferson KS","VALLEY FALLS",2573,0.984 
"66090","20043","Doniphan KS","WATHENA",2601,1 
"66091","20003","Anderson KS","WELDA",338,1 
"66092","20045","Douglas KS","WELLSVILLE",350,0.096 
"66092","20059","Franklin KS","WELLSVILLE",2868,0.789 
"66092","20121","Miami KS","WELLSVILLE",417,0.115 
"66093","20003","Anderson KS","WESTPHALIA",478,0.72 
"66093","20031","Coffey KS","WESTPHALIA",186,0.28 
"66094","20013","Brown KS","WHITE CLOUD",164,0.335 
"66094","20043","Doniphan KS","WHITE CLOUD",325,0.665 
"66095","20003","Anderson KS","WILLIAMSBURG",27,0.032 
"66095","20059","Franklin KS","WILLIAMSBURG",828,0.968 
"66097","20087","Jefferson KS","WINCHESTER",1129,0.997 
"66097","20103","Leavenworth KS","WINCHESTER",3,0.003 
"66101","20209","Wyandotte KS","KANSAS CITY",14601,1 
"66102","20209","Wyandotte KS","KANSAS CITY",28819,1 
"66103","20209","Wyandotte KS","ROSEDALE",14497,1 
"66104","20209","Wyandotte KS","KANSAS CITY",27452,1 
"66105","20209","Wyandotte KS","KANSAS CITY",3212,1 
"66106","20209","Wyandotte KS","LAKE QUIVIRA",24283,1 
"66109","20103","Leavenworth KS","KANSAS CITY",137,0.009 
"66109","20209","Wyandotte KS","KANSAS CITY",15719,0.991 
"66111","20209","Wyandotte KS","KANSAS CITY",10828,1 
"66112","20209","Wyandotte KS","KANSAS CITY",11960,1 
"66118","20209","Wyandotte KS","KANSAS CITY",1,1 
"66202","20091","Johnson KS","COUNTRYSIDE",16848,1 
"66203","20091","Johnson KS","SHAWNEE",20007,1 
