zcta5,county
ZIP Census Tabulation Area,county
51630,29005
51640,29005
52626,29045
63005,29071
63005,29189
63010,29099
63011,29189
63012,29099
63013,29071
63014,29071
63014,29073
63015,29071
63015,29099
63016,29099
63017,29189
63019,29099
63020,29099
63020,29221
63021,29189
63023,29099
63025,29099
63025,29189
63026,29099
63026,29189
63028,29099
63028,29186
63030,29099
63030,29221
63031,29189
63033,29189
63034,29189
63036,29186
63036,29187
63037,29071
63038,29189
63039,29071
63040,29189
63041,29071
63041,29099
63042,29189
63043,29189
63044,29189
63048,29099
63049,29099
63049,29189
63050,29099
63051,29099
63052,29099
63055,29071
63056,29071
63060,29071
63060,29221
63061,29071
63068,29071
63068,29073
63069,29071
63069,29099
63069,29189
63070,29099
63071,29221
63072,29071
63072,29099
63074,29189
63077,29071
63080,29055
63080,29071
63080,29221
63084,29071
63087,29099
63087,29187
63088,29189
63089,29071
63090,29071
63091,29071
63091,29073
63101,29510
63102,29510
63103,29510
63104,29510
63105,29189
63105,29510
63106,29510
63107,29510
63108,29510
63109,29510
63110,29510
63111,29510
63112,29510
63113,29510
63114,29189
63115,29510
63116,29510
63117,29189
63117,29510
63118,29510
63119,29189
63119,29510
63120,29189
63120,29510
63121,29189
63122,29189
63123,29189
63123,29510
63124,29189
63125,29189
63125,29510
63126,29189
63127,29189
63128,29189
63129,29189
63130,29189
63130,29510
63131,29189
63132,29189
63133,29189
63133,29510
63134,29189
63135,29189
63136,29189
63136,29510
63137,29189
63137,29510
63138,29189
63138,29510
63139,29510
63140,29189
63141,29189
63143,29189
63143,29510
63144,29189
63146,29189
63147,29510
63301,29183
63303,29183
63304,29183
63330,29163
63332,29183
63333,29113
63333,29139
63334,29113
63334,29163
63336,29163
63339,29163
63341,29183
63343,29113
63343,29163
63344,29113
63344,29163
63345,29007
63347,29113
63348,29113
63348,29183
63348,29219
63349,29113
63349,29219
63350,29139
63351,29139
63351,29219
63352,29007
63352,29173
63353,29163
63357,29183
63357,29219
63359,29007
63359,29113
63359,29139
63359,29163
63361,29027
63361,29139
63362,29113
63363,29139
63363,29219
63366,29183
63367,29183
63369,29113
63370,29113
63373,29183
63376,29183
63377,29113
63379,29113
63381,29113
63381,29139
63381,29219
63382,29007
63382,29163
63382,29173
63383,29113
63383,29219
63384,29007
63384,29027
63384,29139
63385,29183
63386,29183
63387,29113
63388,29027
63389,29113
63390,29113
63390,29219
63401,29127
63401,29173
63430,29045
63431,29121
63432,29045
63432,29199
63433,29163
63434,29111
63434,29205
63435,29045
63435,29111
63436,29173
63437,29121
63437,29137
63437,29205
63438,29111
63438,29127
63439,29127
63439,29205
63440,29111
63440,29127
63440,29205
63441,29163
63441,29173
63443,29127
63443,29137
63443,29205
63445,29045
63446,29103
63446,29111
63447,29111
63448,29111
63450,29137
63450,29205
63451,29103
63451,29205
63452,29111
63453,29045
63454,29111
63454,29127
63456,29127
63456,29137
63456,29173
63457,29111
63458,29103
63459,29163
63459,29173
63460,29103
63461,29127
63462,29137
63462,29173
63463,29127
63463,29205
63464,29103
63465,29045
63468,29137
63468,29205
63469,29103
63469,29205
63471,29111
63471,29127
63472,29045
63473,29045
63473,29111
63474,29045
63474,29111
63474,29199
63501,29001
63530,29121
63531,29103
63531,29199
63532,29121
63533,29001
63533,29103
63534,29121
63534,29175
63535,29171
63535,29197
63536,29197
63536,29199
63537,29103
63538,29121
63539,29121
63540,29001
63541,29197
63543,29199
63544,29001
63544,29171
63544,29211
63545,29211
63546,29001
63546,29197
63546,29199
63547,29001
63547,29103
63548,29197
63549,29001
63549,29121
63551,29171
63552,29121
63555,29199
63556,29211
63557,29115
63557,29121
63557,29211
63558,29041
63558,29121
63559,29001
63559,29171
63560,29171
63560,29211
63561,29197
63563,29103
63563,29199
63565,29171
63565,29211
63566,29115
63566,29211
63567,29171
63601,29187
63620,29093
63620,29123
63620,29179
63621,29093
63621,29123
63622,29221
63623,29093
63624,29093
63624,29187
63624,29221
63625,29093
63625,29179
63626,29187
63626,29221
63627,29099
63627,29186
63628,29186
63628,29187
63628,29221
63629,29065
63629,29179
63629,29203
63630,29221
63631,29093
63631,29221
63633,29179
63636,29093
63636,29123
63636,29223
63637,29187
63638,29179
63638,29203
63640,29186
63640,29187
63645,29123
63645,29186
63645,29187
63648,29187
63648,29221
63650,29093
63650,29123
63650,29187
63653,29187
63654,29093
63654,29179
63655,29017
63655,29123
63655,29223
63656,29093
63656,29179
63660,29221
63662,29017
63663,29093
63664,29221
63665,29179
63670,29186
63673,29157
63673,29186
63674,29221
63675,29093
63701,29031
63703,29031
63730,29017
63730,29031
63730,29207
63732,29031
63732,29157
63735,29201
63735,29207
63736,29201
63738,29207
63739,29031
63740,29031
63740,29201
63742,29201
63743,29031
63747,29031
63748,29157
63750,29017
63751,29017
63753,29017
63755,29031
63758,29201
63760,29017
63763,29223
63764,29017
63764,29031
63766,29017
63766,29031
63767,29201
63769,29031
63770,29031
63770,29157
63771,29031
63771,29201
63771,29207
63774,29201
63775,29017
63775,29031
63775,29157
63780,29031
63780,29201
63781,29017
63782,29017
63783,29157
63784,29201
63785,29017
63785,29031
63787,29017
63787,29223
63801,29133
63801,29143
63801,29201
63801,29207
63820,29133
63821,29069
63822,29069
63822,29207
63823,29133
63823,29201
63824,29201
63825,29207
63826,29155
63827,29155
63828,29143
63829,29069
63830,29155
63833,29143
63833,29207
63834,29133
63834,29201
63837,29069
63837,29143
63839,29155
63841,29207
63845,29133
63845,29143
63846,29207
63847,29069
63848,29143
63848,29155
63849,29069
63849,29155
63850,29207
63851,29155
63852,29069
63852,29155
63853,29155
63855,29069
63857,29069
63857,29155
63860,29143
63862,29143
63863,29069
63863,29143
63866,29143
63867,29143
63868,29143
63869,29143
63870,29143
63870,29207
63873,29143
63873,29155
63874,29143
63876,29069
63877,29069
63877,29155
63878,29143
63879,29155
63880,29069
63882,29133
63901,29023
63901,29181
63932,29023
63933,29069
63934,29223
63935,29035
63935,29149
63935,29181
