"zcta5","county","cntyname","zipname","pop2k","afact"
"ZIP Census Tabulation Area","county","cntyname","zipname","Total Pop, 2000 census","zcta5 to county alloc factor"
"51630","29005","Atchison MO","BLANCHARD",28,1 
"51640","29005","Atchison MO","HAMBURG",24,1 
"52626","29045","Clark MO","FARMINGTON",32,1 
"63005","29071","Franklin MO","CHESTERFIELD",30,0.002 
"63005","29189","St. Louis MO","CHESTERFIELD",16644,0.998 
"63010","29099","Jefferson MO","ARNOLD",36885,1 
"63011","29189","St. Louis MO","MANCHESTER",38100,1 
"63012","29099","Jefferson MO","BARNHART",9367,1 
"63013","29071","Franklin MO","BEAUFORT",1636,1 
"63014","29071","Franklin MO","BERGER",776,0.924 
"63014","29073","Gasconade MO","BERGER",64,0.076 
"63015","29071","Franklin MO","CATAWISSA",1550,0.704 
"63015","29099","Jefferson MO","CATAWISSA",651,0.296 
"63016","29099","Jefferson MO","CEDAR HILL",7829,1 
"63017","29189","St. Louis MO","TOWN AND COUNTRY",42716,1 
"63019","29099","Jefferson MO","CRYSTAL CITY",4095,1 
"63020","29099","Jefferson MO","DE SOTO",20145,0.995 
"63020","29221","Washington MO","DE SOTO",93,0.005 
"63021","29189","St. Louis MO","BALLWIN",54560,1 
"63023","29099","Jefferson MO","DITTMER",5253,1 
"63025","29099","Jefferson MO","CRESCENT",2408,0.218 
"63025","29189","St. Louis MO","CRESCENT",8638,0.782 
"63026","29099","Jefferson MO","FENTON",18709,0.452 
"63026","29189","St. Louis MO","FENTON",22674,0.548 
"63028","29099","Jefferson MO","FESTUS",22668,0.976 
"63028","29186","Ste. Genevieve MO","FESTUS",553,0.024 
"63030","29099","Jefferson MO","FLETCHER",28,0.081 
"63030","29221","Washington MO","FLETCHER",318,0.919 
"63031","29189","St. Louis MO","FLORISSANT",50013,1 
"63033","29189","St. Louis MO","FLORISSANT",45574,1 
"63034","29189","St. Louis MO","FLORISSANT",16803,1 
"63036","29186","Ste. Genevieve MO","FRENCH VILLAGE",184,0.191 
"63036","29187","St. Francois MO","FRENCH VILLAGE",777,0.809 
"63037","29071","Franklin MO","GERALD",3184,1 
"63038","29189","St. Louis MO","GLENCOE",5066,1 
"63039","29071","Franklin MO","GRAY SUMMIT",832,1 
"63040","29189","St. Louis MO","GROVER",8300,1 
"63041","29071","Franklin MO","GRUBVILLE",183,0.59 
"63041","29099","Jefferson MO","GRUBVILLE",127,0.41 
"63042","29189","St. Louis MO","HAZELWOOD",19162,1 
"63043","29189","St. Louis MO","MARYLAND HEIGHTS",22401,1 
"63044","29189","St. Louis MO","BRIDGETON",14623,1 
"63048","29099","Jefferson MO","HERCULANEUM",2407,1 
"63049","29099","Jefferson MO","HIGH RIDGE",13847,0.994 
"63049","29189","St. Louis MO","HIGH RIDGE",84,0.006 
"63050","29099","Jefferson MO","HILLSBORO",13206,1 
"63051","29099","Jefferson MO","HOUSE SPRINGS",13230,1 
"63052","29099","Jefferson MO","ANTONIA",19374,1 
"63055","29071","Franklin MO","LABADIE",1767,1 
"63056","29071","Franklin MO","LESLIE",2031,1 
"63060","29071","Franklin MO","LONEDELL",2422,0.982 
"63060","29221","Washington MO","LONEDELL",45,0.018 
"63061","29071","Franklin MO","LUEBBERING",259,1 
"63068","29071","Franklin MO","NEW HAVEN",4371,0.971 
"63068","29073","Gasconade MO","NEW HAVEN",131,0.029 
"63069","29071","Franklin MO","PACIFIC",10613,0.701 
"63069","29099","Jefferson MO","PACIFIC",1587,0.105 
"63069","29189","St. Louis MO","PACIFIC",2945,0.194 
"63070","29099","Jefferson MO","PEVELY",5807,1 
"63071","29221","Washington MO","RICHWOODS",1063,1 
"63072","29071","Franklin MO","ROBERTSVILLE",2729,0.936 
"63072","29099","Jefferson MO","ROBERTSVILLE",186,0.064 
"63074","29189","St. Louis MO","SAINT ANN",15399,1 
"63077","29071","Franklin MO","SAINT CLAIR",11071,1 
"63080","29055","Crawford MO","SULLIVAN",2075,0.164 
"63080","29071","Franklin MO","SULLIVAN",9638,0.761 
"63080","29221","Washington MO","SULLIVAN",951,0.075 
"63084","29071","Franklin MO","UNION",13864,1 
"63087","29099","Jefferson MO","VALLES MINES",70,0.077 
"63087","29187","St. Francois MO","VALLES MINES",845,0.923 
"63088","29189","St. Louis MO","VALLEY PARK",8366,1 
"63089","29071","Franklin MO","VILLA RIDGE",5690,1 
"63090","29071","Franklin MO","WASHINGTON",20995,1 
"63091","29071","Franklin MO","ROSEBUD",143,0.116 
"63091","29073","Gasconade MO","ROSEBUD",1085,0.884 
"63101","29510","St. Louis city MO","SAINT LOUIS",1327,1 
"63102","29510","St. Louis city MO","SAINT LOUIS",1311,1 
"63103","29510","St. Louis city MO","SAINT LOUIS",4603,1 
"63104","29510","St. Louis city MO","SAINT LOUIS",19088,1 
"63105","29189","St. Louis MO","CLAYTON",13434,0.927 
"63105","29510","St. Louis city MO","CLAYTON",1056,0.073 
"63106","29510","St. Louis city MO","SAINT LOUIS",10553,1 
"63107","29510","St. Louis city MO","SAINT LOUIS",16313,1 
"63108","29510","St. Louis city MO","SAINT LOUIS",20890,1 
"63109","29510","St. Louis city MO","SAINT LOUIS",29264,1 
"63110","29510","St. Louis city MO","SAINT LOUIS",20163,1 
"63111","29510","St. Louis city MO","SAINT LOUIS",21583,1 
"63112","29510","St. Louis city MO","SAINT LOUIS",22678,1 
"63113","29510","St. Louis city MO","SAINT LOUIS",16101,1 
"63114","29189","St. Louis MO","OVERLAND",38479,1 
"63115","29510","St. Louis city MO","SAINT LOUIS",25238,1 
"63116","29510","St. Louis city MO","SAINT LOUIS",47017,1 
"63117","29189","St. Louis MO","RICHMOND HEIGHTS",8981,0.919 
"63117","29510","St. Louis city MO","RICHMOND HEIGHTS",790,0.081 
"63118","29510","St. Louis city MO","SAINT LOUIS",30222,1 
"63119","29189","St. Louis MO","WEBSTER GROVES",34108,0.991 
"63119","29510","St. Louis city MO","WEBSTER GROVES",308,0.009 
"63120","29189","St. Louis MO","SAINT LOUIS",1307,0.099 
"63120","29510","St. Louis city MO","SAINT LOUIS",11961,0.901 
"63121","29189","St. Louis MO","NORMANDY",29172,1 
"63122","29189","St. Louis MO","KIRKWOOD",38653,1 
"63123","29189","St. Louis MO","AFFTON",47428,0.955 
"63123","29510","St. Louis city MO","AFFTON",2252,0.045 
"63124","29189","St. Louis MO","LADUE",9819,1 
"63125","29189","St. Louis MO","LEMAY",32709,0.987 
"63125","29510","St. Louis city MO","LEMAY",441,0.013 
"63126","29189","St. Louis MO","SAPPINGTON",15386,1 
"63127","29189","St. Louis MO","SAPPINGTON",4852,1 
"63128","29189","St. Louis MO","SAPPINGTON",29122,1 
"63129","29189","St. Louis MO","SOUTH COUNTY",51191,1 
"63130","29189","St. Louis MO","UNIVERSITY CITY",34032,0.989 
"63130","29510","St. Louis city MO","UNIVERSITY CITY",392,0.011 
"63131","29189","St. Louis MO","DES PERES",16396,1 
"63132","29189","St. Louis MO","OLIVETTE",13731,1 
"63133","29189","St. Louis MO","SAINT LOUIS",8679,0.998 
"63133","29510","St. Louis city MO","SAINT LOUIS",14,0.002 
"63134","29189","St. Louis MO","BERKELEY",14982,1 
"63135","29189","St. Louis MO","FERGUSON",21532,1 
"63136","29189","St. Louis MO","JENNINGS",49287,0.919 
"63136","29510","St. Louis city MO","JENNINGS",4317,0.081 
"63137","29189","St. Louis MO","NORTH COUNTY",20170,0.951 
"63137","29510","St. Louis city MO","NORTH COUNTY",1047,0.049 
"63138","29189","St. Louis MO","NORTH COUNTY",21872,1 
"63138","29510","St. Louis city MO","NORTH COUNTY",7,0 
"63139","29510","St. Louis city MO","SAINT LOUIS",24364,1 
"63140","29189","St. Louis MO","BERKELEY",789,1 
"63141","29189","St. Louis MO","CREVE COEUR",20025,1 
"63143","29189","St. Louis MO","MAPLEWOOD",9279,0.845 
"63143","29510","St. Louis city MO","MAPLEWOOD",1699,0.155 
"63144","29189","St. Louis MO","BRENTWOOD",9072,1 
"63146","29189","St. Louis MO","WEST COUNTY",29760,1 
"63147","29510","St. Louis city MO","SAINT LOUIS",13190,1 
"63301","29183","St. Charles MO","SAINT CHARLES",46052,1 
"63303","29183","St. Charles MO","SAINT CHARLES",41659,1 
"63304","29183","St. Charles MO","SAINT CHARLES",38383,1 
"63330","29163","Pike MO","ANNADA",148,1 
"63332","29183","St. Charles MO","AUGUSTA",1163,1 
"63333","29113","Lincoln MO","BELLFLOWER",23,0.028 
"63333","29139","Montgomery MO","BELLFLOWER",812,0.972 
"63334","29113","Lincoln MO","BOWLING GREEN",62,0.008 
"63334","29163","Pike MO","BOWLING GREEN",7956,0.992 
