"zcta5","county","pop2k","afact"
"ZIP Census Tabulation Area","county","Total Pop, 2000 census","zcta5 to county alloc factor"
"51630","29005",28,1 
"51640","29005",24,1 
"52626","29045",32,1 
"63005","29071",30,0.002 
"63005","29189",16644,0.998 
"63010","29099",36885,1 
"63011","29189",38100,1 
"63012","29099",9367,1 
"63013","29071",1636,1 
"63014","29071",776,0.924 
"63014","29073",64,0.076 
"63015","29071",1550,0.704 
"63015","29099",651,0.296 
"63016","29099",7829,1 
"63017","29189",42716,1 
"63019","29099",4095,1 
"63020","29099",20145,0.995 
"63020","29221",93,0.005 
"63021","29189",54560,1 
"63023","29099",5253,1 
"63025","29099",2408,0.218 
"63025","29189",8638,0.782 
"63026","29099",18709,0.452 
"63026","29189",22674,0.548 
"63028","29099",22668,0.976 
"63028","29186",553,0.024 
"63030","29099",28,0.081 
"63030","29221",318,0.919 
"63031","29189",50013,1 
"63033","29189",45574,1 
"63034","29189",16803,1 
"63036","29186",184,0.191 
"63036","29187",777,0.809 
"63037","29071",3184,1 
"63038","29189",5066,1 
"63039","29071",832,1 
"63040","29189",8300,1 
"63041","29071",183,0.59 
"63041","29099",127,0.41 
"63042","29189",19162,1 
"63043","29189",22401,1 
"63044","29189",14623,1 
"63048","29099",2407,1 
"63049","29099",13847,0.994 
"63049","29189",84,0.006 
"63050","29099",13206,1 
"63051","29099",13230,1 
"63052","29099",19374,1 
"63055","29071",1767,1 
"63056","29071",2031,1 
"63060","29071",2422,0.982 
"63060","29221",45,0.018 
"63061","29071",259,1 
"63068","29071",4371,0.971 
"63068","29073",131,0.029 
"63069","29071",10613,0.701 
"63069","29099",1587,0.105 
"63069","29189",2945,0.194 
"63070","29099",5807,1 
"63071","29221",1063,1 
"63072","29071",2729,0.936 
"63072","29099",186,0.064 
"63074","29189",15399,1 
"63077","29071",11071,1 
"63080","29055",2075,0.164 
"63080","29071",9638,0.761 
"63080","29221",951,0.075 
"63084","29071",13864,1 
"63087","29099",70,0.077 
"63087","29187",845,0.923 
"63088","29189",8366,1 
"63089","29071",5690,1 
"63090","29071",20995,1 
"63091","29071",143,0.116 
"63091","29073",1085,0.884 
"63101","29510",1327,1 
"63102","29510",1311,1 
"63103","29510",4603,1 
"63104","29510",19088,1 
"63105","29189",13434,0.927 
"63105","29510",1056,0.073 
"63106","29510",10553,1 
"63107","29510",16313,1 
"63108","29510",20890,1 
